日期,商品名称,分类,单价,销量,销售额,成本,利润
2025-05-01,碎花连衣裙,女装,382.61,27,10330.47,3266.43,7064.04
2025-05-01,高腰阔腿裤,女装,250.67,20,5013.4,3444.81,1568.59
2025-05-01,针织开衫,女装,447.46,14,6264.44,3143.96,3120.48
2025-05-01,雪纺衬衫,女装,314.91,17,5353.47,3720.15,1633.32
2025-05-01,保湿面霜,美妆,357.01,39,13923.39,9201.5,4721.89
2025-05-01,防晒喷雾,美妆,368.97,44,16234.68,7014.66,9220.02
2025-05-01,口红套装,美妆,186.59,21,3918.39,2132.99,1785.4
2025-05-01,眼线笔,美妆,483.8,31,14997.8,7155.11,7842.69
2025-05-01,卸妆油,美妆,45.21,36,1627.56,1084.6,542.96
2025-05-01,快充充电器,数码,359.47,43,15457.21,8503.11,6954.1
2025-05-01,手机支架,数码,416.61,22,9165.42,3643.84,5521.58
2025-05-01,USB-C 数据线,数码,437.18,13,5683.34,3789.69,1893.65
2025-05-01,乳胶枕头,家居,84.11,35,2943.85,1410.66,1533.19
2025-05-01,收纳箱三件套,家居,261.35,32,8363.2,2873.79,5489.41
2025-05-01,香薰蜡烛,家居,357.68,36,12876.48,5576.81,7299.67
2025-05-01,桌布套装,家居,113.55,39,4428.45,2297.89,2130.56
2025-05-02,高腰阔腿裤,女装,385.43,17,6552.31,2274.75,4277.56
2025-05-02,针织开衫,女装,244.04,25,6101.0,3755.1,2345.9
2025-05-02,保湿面霜,美妆,224.89,49,11019.61,6687.39,4332.22
2025-05-02,防晒喷雾,美妆,144.17,15,2162.55,1160.12,1002.43
2025-05-02,眼线笔,美妆,25.83,42,1084.86,560.4,524.46
2025-05-02,卸妆油,美妆,199.88,14,2798.32,1924.17,874.15
2025-05-02,无线蓝牙耳机,数码,270.9,49,13274.1,6307.26,6966.84
2025-05-02,快充充电器,数码,128.05,15,1920.75,1096.25,824.5
2025-05-02,手机支架,数码,476.84,2,953.68,444.86,508.82
2025-05-02,USB-C 数据线,数码,462.26,7,3235.82,1211.37,2024.45
2025-05-02,屏幕清洁套装,数码,432.07,8,3456.56,2064.46,1392.1
2025-05-02,乳胶枕头,家居,487.03,33,16071.99,10841.78,5230.21
2025-05-02,遮光窗帘,家居,417.57,43,17955.51,6750.19,11205.32
2025-05-02,香薰蜡烛,家居,257.19,33,8487.27,3881.58,4605.69
2025-05-02,桌布套装,家居,247.91,48,11899.68,7365.45,4534.23
2025-05-03,碎花连衣裙,女装,474.7,4,1898.8,639.2,1259.6
2025-05-03,高腰阔腿裤,女装,97.01,43,4171.43,2676.11,1495.32
2025-05-03,保湿面霜,美妆,499.86,41,20494.26,9374.34,11119.92
2025-05-03,防晒喷雾,美妆,497.49,24,11939.76,6180.87,5758.89
2025-05-03,口红套装,美妆,145.1,3,435.3,282.25,153.05
2025-05-03,眼线笔,美妆,466.95,25,11673.75,5480.18,6193.57
2025-05-03,卸妆油,美妆,94.78,12,1137.36,448.63,688.73
2025-05-03,快充充电器,数码,81.3,33,2682.9,1190.88,1492.02
2025-05-03,手机支架,数码,286.55,29,8309.95,5141.4,3168.55
2025-05-03,USB-C 数据线,数码,454.7,49,22280.3,9930.38,12349.92
2025-05-03,屏幕清洁套装,数码,190.51,29,5524.79,2013.64,3511.15
2025-05-03,乳胶枕头,家居,361.85,30,10855.5,6100.4,4755.1
2025-05-03,香薰蜡烛,家居,264.97,23,6094.31,3441.3,2653.01
2025-05-03,桌布套装,家居,453.04,23,10419.92,5492.15,4927.77
2025-05-04,高腰阔腿裤,女装,194.43,39,7582.77,3712.69,3870.08
2025-05-04,针织开衫,女装,308.72,31,9570.32,3863.94,5706.38
2025-05-04,雪纺衬衫,女装,243.08,36,8750.88,4292.67,4458.21
2025-05-04,保湿面霜,美妆,88.05,41,3610.05,1301.96,2308.09
2025-05-04,防晒喷雾,美妆,204.12,1,204.12,116.06,88.06
2025-05-04,眼线笔,美妆,301.68,20,6033.6,3692.75,2340.85
2025-05-04,卸妆油,美妆,145.67,39,5681.13,3337.83,2343.3
2025-05-04,无线蓝牙耳机,数码,361.35,28,10117.8,4633.8,5484.0
2025-05-04,快充充电器,数码,230.64,9,2075.76,1352.45,723.31
2025-05-04,乳胶枕头,家居,226.54,41,9288.14,5963.82,3324.32
2025-05-04,遮光窗帘,家居,419.24,37,15511.88,6830.88,8681.0
2025-05-04,收纳箱三件套,家居,298.36,22,6563.92,3759.77,2804.15
2025-05-04,香薰蜡烛,家居,430.35,39,16783.65,9541.66,7241.99
2025-05-05,针织开衫,女装,90.16,5,450.8,138.81,311.99
2025-05-05,牛仔短裙,女装,155.35,49,7612.15,2462.83,5149.32
2025-05-05,雪纺衬衫,女装,189.72,50,9486.0,3500.96,5985.04
2025-05-05,口红套装,美妆,417.03,17,7089.51,4396.77,2692.74
2025-05-05,卸妆油,美妆,319.08,47,14996.76,10263.32,4733.44
2025-05-05,无线蓝牙耳机,数码,195.61,39,7628.79,3318.23,4310.56
2025-05-05,快充充电器,数码,135.7,16,2171.2,1062.66,1108.54
2025-05-05,USB-C 数据线,数码,434.76,36,15651.36,9957.16,5694.2
2025-05-05,遮光窗帘,家居,166.2,49,8143.8,4099.17,4044.63
2025-05-05,收纳箱三件套,家居,305.47,28,8553.16,4110.21,4442.95
2025-05-06,碎花连衣裙,女装,374.77,45,16864.65,11417.03,5447.62
2025-05-06,高腰阔腿裤,女装,462.33,2,924.66,588.21,336.45
2025-05-06,针织开衫,女装,135.79,4,543.16,358.68,184.48
2025-05-06,雪纺衬衫,女装,134.59,35,4710.65,1605.34,3105.31
2025-05-06,防晒喷雾,美妆,212.95,12,2555.4,1703.27,852.13
2025-05-06,口红套装,美妆,92.41,5,462.05,164.26,297.79
2025-05-06,眼线笔,美妆,76.45,1,76.45,52.67,23.78
2025-05-06,无线蓝牙耳机,数码,480.66,11,5287.26,3431.24,1856.02
2025-05-06,手机支架,数码,276.52,44,12166.88,6695.34,5471.54
2025-05-06,屏幕清洁套装,数码,110.49,25,2762.25,1158.81,1603.44
2025-05-06,乳胶枕头,家居,95.49,10,954.9,387.24,567.66
2025-05-06,遮光窗帘,家居,411.44,38,15634.72,4711.57,10923.15
2025-05-06,收纳箱三件套,家居,178.88,20,3577.6,1581.8,1995.8
